iter	Passed	Remaining
0	173	866947
1	241	603607
2	341	568721
3	428	534974
4	482	481774
5	573	477209
6	647	462163
7	730	455899
8	806	447146
9	882	440397
10	948	430021
11	1030	428206
12	1122	430429
13	1174	418439
14	1308	434794
15	1475	459554
16	1612	472793
17	1733	479680
18	1823	478172
19	1891	470969
20	1959	464704
21	2022	457558
22	2085	451270
23	2158	447632
24	2226	443012
25	2280	436189
26	2348	432504
27	2415	429009
28	2491	427008
29	2560	424166
30	2623	420563
31	2688	417415
32	2756	414964
33	2839	414719
34	2907	412449
35	2987	411936
36	3057	410104
37	3128	408467
38	3197	406684
39	3264	404750
40	3335	403414
41	3400	401386
42	3478	400944
43	3552	400115
44	3624	399044
45	3691	397607
46	3758	396037
47	3827	394892
48	3903	394425
49	3990	395107
50	4068	394840
51	4142	394132
52	4207	392762
53	4276	391722
54	4346	390752
55	4412	389523
56	4492	389578
57	4562	388788
58	4623	387158
59	4693	386408
60	4760	385442
61	4835	385108
62	4896	383702
63	4967	383122
64	5037	382463
65	5105	381684
66	5168	380522
67	5241	380162
68	5310	379522
69	5384	379225
70	5454	378666
71	5531	378605
72	5578	376486
73	5644	375768
74	5713	375155
75	5788	375016
76	5854	374320
77	5923	373787
78	5990	373172
79	6058	372568
80	6127	372091
81	6201	371933
82	6272	371575
83	6407	374983
84	6616	382604
85	6733	384759
86	6807	384426
87	6885	384348
88	7054	389283
89	7226	394251
90	7373	397737
91	7575	404141
92	7722	407456
93	7843	409344
94	7966	411340
95	8097	413630
96	8210	415013
97	8345	417455
98	8481	419886
99	8594	421134
100	8672	420646
101	8784	421839
102	8863	421410
103	8930	420440
104	9010	420053
105	9083	419393
106	9154	418645
107	9226	417946
108	9298	417221
109	9384	417200
110	9468	417026
111	9535	416134
112	9611	415674
113	9683	415037
114	9753	414331
115	9818	413380
116	9884	412515
117	9957	411966
118	10043	411958
119	10124	411735
120	10213	411850
121	10316	412475
122	10403	412507
123	10489	412479
124	10575	412431
125	10661	412432
126	10766	413119
127	10866	413593
128	10980	414606
129	11081	415145
130	11217	416923
131	11370	419333
132	11447	418904
133	11558	419731
134	11668	420483
135	11801	422086
136	11931	423538
137	12048	424500
138	12149	424884
139	12277	426212
140	12404	427473
141	12554	429490
142	12663	430124
143	12747	429874
144	12820	429249
145	12929	429862
146	13015	429693
147	13101	429514
148	13206	429952
149	13318	430621
150	13444	431738
151	13564	432636
152	13764	436060
153	13863	436253
154	13949	436027
155	14025	435524
156	14115	435430
157	14190	434866
158	14230	433282
159	14314	433026
160	14378	432167
161	14454	431676
162	14538	431428
163	14646	431907
164	14732	431707
165	14834	431982
166	14930	432089
167	15022	432076
168	15116	432113
169	15199	431842
170	15331	432956
171	15430	433141
172	15516	432948
173	15607	432879
174	15691	432645
175	15789	432783
176	15872	432500
177	15964	432482
178	16052	432341
179	16138	432165
180	16175	430658
181	16256	430345
182	16345	430266
183	16439	430289
184	16533	430316
185	16601	429666
186	16676	429221
187	16756	428889
188	16842	428731
189	16955	429249
190	17092	430365
191	17221	431263
192	17344	431993
193	17419	431540
194	17493	431054
195	17595	431257
196	17681	431084
197	17739	430220
198	17819	429900
199	17888	429322
200	17960	428824
201	18033	428343
202	18110	427960
203	18205	428007
204	18290	427818
205	18367	427451
206	18436	426898
207	18504	426321
208	18572	425741
209	18607	424425
210	18666	423678
211	18731	423059
212	18859	423854
213	18983	424550
214	19040	423757
215	19119	423461
216	19199	423189
217	19271	422736
218	19340	422218
219	19413	421793
220	19493	421527
221	19573	421281
222	19643	420794
223	19717	420405
224	19795	420112
225	19869	419725
226	19944	419359
227	20014	418910
228	20073	418221
229	20138	417657
230	20203	417101
231	20271	416606
232	20346	416266
233	20418	415883
234	20490	415480
235	20561	415070
236	20626	414527
237	20692	414029
238	20763	413612
239	20838	413287
240	20923	413176
241	21016	413207
242	21083	412728
243	21161	412474
244	21239	412223
245	21312	411862
246	21379	411408
247	21445	410932
248	21522	410662
249	21590	410224
250	21661	409849
251	21731	409456
252	21792	408893
253	21863	408518
254	21928	408037
255	21995	407600
256	22060	407129
257	22121	406581
258	22189	406171
259	22257	405770
260	22321	405302
261	22394	404976
262	22463	404601
263	22531	404204
